eat soup=喝湯, (不用 drink)
strong tea=濃茶, (不用 thick)
have breakfast=吃早點, (不用 eat)
take an exam=參加考試, (不用 join)
take a call=接電話, (不用 receive)
transfer a call=轉接電話, (不用 roll)
return a call=回電話, (不用 back)
get a 10% discount=享有九折優待, (不用 enjoy)
bear witness=當証人, (不用 make)
hit the jackpot=中獎, (不用 get)
levy tax=徵稅, (不用 take)
deposit a check=支票存入戶頭, (不用 save)
deposit the money=存錢, (不用 save)
write a check=開支票, (不用 open)
cash a check=支票兌現, (不用 trans)
bounce a check=跳票, (不用 jump)
press charge=提告, (不用 raise)
submit an application=提出申請, (不用 raise)
wear perfume=擦香水, (不用 wipe)
wage war=開戰, (不用 open)
take a photo=拍照, (不用 hit)
keep to the rules=遵守規定, (不用 follow)
keep a diary=寫日記, (不用 write)
make an effort=努力, (不用 work)
watch TV=看電視, (不用 see)
Live music=現場音樂, (不用 now)
play the flute=吹長笛, (不用 blow)
have a plane to catch=趕飛機, (不用 rush)
heavy snow=大雪, (不用 big)
pitch dark=漆黑, (不用 paint)
