abbreviated form=縮短的版本
aberrant behavior=偏差、反常的行為
abiding belief=堅定不移的信念
abrasive personality=無理粗暴的性格
absorbing performance=引人入勝的表演
abstemious lifestyle=飲食節制的生活方式
abstinent man=禁慾的男子
abstruse theory=艱澀難懂的理論
abysmal living conditions=糟透的生活環境
accessible notion=容易理解的概念
acerbic remarks=刻薄的言論
acquisitive developer=貪得無厭的開發者
acrimonious dispute=言詞尖刻且激烈的辯論
ad hoc committee=臨時特設的委員會
remain adamant about...=對...保持堅定的態度
adroit manipulation=靈巧的操控(語言等)
agile fingers=靈巧的手指
agile mind=敏捷的思緒
agreeable solution=令人欣然接受的解決方案
altruistic act=利他的行為
ambivalent feelings=矛盾的心情
anachronistic style=過時、時間錯置的風格
ancillary role=配角，輔助的角色
annotated bibliography=附有註釋的參考書目
anomalous results=異常的結果
anonymous author=匿名的作者
antagonistic relationship=有敵意的關係
be antipathetic to change=不喜歡改變的
antiquated law=過時的法規
antithetical traditions=互相對立的傳統
apposite remark=適當的言論
arbitrary decision=武斷的決定
arcane language=晦澀難懂的用語
archaic equipment=老舊過時的設備
archetypal hero=典型的英雄
arduous task=辛苦的差事
artful trick=奸詐的伎倆
articulate speaker=口條清晰的講者
ascetic lifestyle=苦行的生活方式
assiduous attention=嚴謹仔細的注意
astringent criticism=嚴厲的批評
astronomical prices=高昂的價錢
astute investment=精明的投資
atrocious crime=罪大惡極的犯罪
audacious plan=大膽的計畫
auspicious beginning=有利的開始
austere design=簡樸的設計
authoritative voice=權威的口吻
autocratic regime=獨裁的政權
auxiliary staff=輔助的人員
avant-garde art=標新立異、前衛的藝術
avaricious scheme=貪婪的詭計
axiomatic theory=不證自明的理論
baffling problem=令人困惑的問題
banal platitude=乏味的陳腔濫調
baneful influence=有害的影響
baroque architecture=巴洛克風格的建築
barren land=貧脊的土地
baseless accusation=無根據的指控
bashful smile=靦腆的笑容
befuddled brain=昏沉的腦袋
beguiling aroma=讓人沉迷的氣味
beleaguered leader=面臨艱難處境的領導人
belittled work=被輕視的作品
belligerent person=好鬥的人
bemused audience=困惑的觀眾
generous benefactor=慷慨的捐助者
berated child=被嚴厲責備的孩子
be bereft of hope=喪失希望的
be beset with dangers=充滿危險的
betrayed secret=被揭露的秘密
bland music=乏味的音樂
blatant lie=彌天大謊，公然的謊言
bleak outlook=黯淡的前景
blemished reputation=受損的名譽
blighted hopes=被摧毀的希望
blundering attempt=拙劣的作為、嘗試
bogus evidence=偽造的證據
boisterous crowd=喧鬧的群眾
brazen attitude=無恥的態度
be brimming with tears=熱淚盈眶，淚水滿盈的
bristled protesters=憤怒的抗議者
bromidic view=了無新意的觀點
bucolic scenery=鄉村的景色
buoyant economy=蓬勃的經濟
in a buoyant mood=懷著愉悅的心情
bureaucratic organization=官僚的組織
burgeoning industry=蓬勃發展的產業
cagey consumer=謹慎精明的消費者
calamitous event=災難性的事件
calculated attempt=處心積慮的作為、計畫
callous indifference=無情的漠視
calumnious statement=誹謗的言論
candid discussion=直白坦率的討論
canned speech=制式內容的演講
canny investment=精明的投資
capricious weather=多變的天氣
captious client=吹毛求疵的客戶
captivating smile=迷人的微笑
cataclysmic event=災難性、帶來巨大改變的事件
categorical denial=斷然的否認
cathartic effect=宣洩情緒的效果
cavalier attitude=漫不經心的態度
censorious tone=責難的語調
centrifugal force=離心力；使政權離散的力量
much-championed idea=備受支持的想法
chary investors=謹慎小心的投資者
chronological order=依照時間順序的排列
churlish nature=無禮魯莽的性情
circuitous explanation=迂迴的解釋
much-circumscribed role=備受限制的角色、職責
circumspect behavior=小心謹慎的行為
circumstantial evidence=間接的證據
widely-circumvented regulations=廣被規避的法規
clairvoyant power=預見未來的能力
clandestine operation=(情報局等的)秘密行為
clannish family=排外的家族
coarse language=粗魯無禮的言語
cogent argument=有說服力的論點
coherent passage=條理清楚的文章
colloquial usage=口語的用法
collusive activity=共謀的行動
colossal failure=巨大的失敗
compatible friends=合得來的朋友
compelling evidence=令人信服的證據
compelling story=扣人心弦的故事
compendious summary=簡潔的摘要
compendious knowledge=全面的知識
complacent smile=洋洋得意的微笑
complementary talents=互補的才能
be compliant with the rule=遵從規則的
comprehensive understanding=全面性的了解
much-compromised standards=大為妥協的標準
compulsory retirement=強制性的退休
conceivable question=可想得到的問題
concessionary fare=優惠的票價(車費等)
conciliatory tone=安撫的語調
conclusive argument=令人信服的論據
concomitant disease=伴隨的疾病
concordant opinion=一致的看法
condescending attitude=高高在上的態度
congenial conditions=合適的條件
congenial environment=合宜的環境
congenital disease=先天的疾病
congruent values=一致的價值觀
conscientious subordinate=認真的屬下
conspicuous success=令人矚目的成功
conspicuous consumption=炫富型的消費
consummate liar=技巧高超的騙子
consummate model=完美的典範
contemplative mood=沉思的表情
contemptible coward=令人鄙視的膽小鬼
contentious nature=愛爭吵的個性
contentious topic=受爭議的議題
hotly contested election=非常激烈的選舉
contiguous countries=相鄰的國家
contingent events=偶發的事件
contrite apology=懺悔的道歉
contumacious conduct=反抗的行為
convergent policies=相容的政策
be conversant in ten languages=精通十種語言的
convoluted sentence=複雜難懂的句子
copious notes=大量的筆記
cordial invitation=衷心的邀請
cosmopolitan city=國際型的大城市
cosseted childhood=受寵的童年
counterfeit money=假錢，偽造的錢
counterproductive measure=適得其反的方法
much-coveted position=眾人垂涎的職位
crabbed handwriting=難辨認的筆跡
craven acts=極懦弱的行為
credulous child=容易上當的孩子
cryptic message=隱晦難懂的信息
culpable act=有罪的行為
cumbersome machine=笨重的機器
cumbersome procedure=麻煩的流程
cunning scheme=狡猾的計畫
cursory inspection=粗略的檢查
cursory look=匆匆的一瞥
curt reply=草率無理的回覆
curtailed budget=被刪減的預算
daunting task=令人卻步的任務
a dearth of evidence=不足的證據
debilitating disease=使人衰弱的疾病
debunked theory=被揭露為誤的理論
decimated trees=被大量摧毀的樹木
decisive leader=果決的領導者
decorous behavior=得體端莊的行為
widely-decried violence=備受譴責的暴力
defamatory claims=詆毀的言論
be deferential to elders=尊敬長輩的
defiant words=挑釁的言論
deft performance=靈巧、熟練的表演
degenerate society=腐敗墮落的社會
dejected team=灰心沮喪的隊伍
deleterious effect=有害的影響
deliberate practice=刻意的練習
delicate instrument=精密的儀器
delusive promise=欺騙的承諾
demonstrable evidence=明顯的證據
deterrent effect=嚇阻的效用
widely-detested regime=備受憎恨的政權
deviant behavior=偏差的行為
devious trick=狡猾的伎倆
be devoid of life=失去生命的
dexterous handling of...=對...妥善的處理
dichotomous thinking=二分法(無中間立場)的思維
didactic novel=具教育性質的小說
diffident speaker=缺乏自信的講者
digressive talk=離題的演說
dilatory tactic=拖延的戰術
diluted power=被削弱的權力
diminutive stature=嬌小的身形
dire needs=迫切的需求
discerning buyer=有眼光的消費者
discomfiting situation=令人不安的狀況
disconcerting experience=令人焦慮不安的經驗
discrediting scandal=讓人身敗名裂的醜聞
discreet inquiry=小心謹慎的問題
discrete information=離散的資訊
discriminating eater=美食家，有鑑賞力的食客
discursive article=離題的文章
disenfranchised people=被褫奪公民權的公民
disillusioned generation=希望破滅的世代
disingenuous politician=不真誠的政客
disintegrating government=瓦解的政府
disinterested advice=公正無私的建言
dismaying result=令人失望的結果
dismissive attitude=不屑一顧的態度
disparaging remark=輕蔑的言論
disparate notions=全然不同的概念、定義
dispassionate analysis=公正的分析
dispelled myth=被破除的迷思
dissembled feelings=壓抑的情感
widely-disseminated information=廣為流傳的訊息
divergent views=分歧的觀點
diverted attention=被轉移的注意力
divisive issue=意見分歧的議題
divulged information=被洩漏的資訊
doctrinaire conservative=堅守教條的保守分子
dogmatic analysis=武斷的分析
doleful song=哀傷的歌曲
dolorous eyes=悲痛的眼神
dormant volcano=休眠的火山
dovish politician=鴿派、愛好和平的政治人物
downplayed role=被刻意降低重要性的角色
draconian control=嚴厲的控管
droll talk=逗趣的言談
dubious practice=可疑的作為
duplicitous tactic=欺騙的策略
earthly pursuit=世俗的追求
ebbing support=逐漸減退的支持
ebullient kid/child=精力充沛的孩子
eccentric behavior=古怪的行為
eclectic mix=多樣的混合
ecstatic crowd=狂喜的人群
edifying film=具啟發性的電影
efficacious method=有效的方法
effusive welcome=熱切的歡迎
egregious error=極嚴重的錯誤
elaborate preparations=精心周到的準備
elusive memories=模糊的記憶
embellished story=加油添醋的故事
